card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_pal
LAM-000182,LAMBDA,183,BoltMechanical LAMX,Demonic,Elec,INFECTION VECTOR,315,24,9,13,45,DIVINE.SPARK.DRAIN,DIVINE.SPARK.WARD,DIVINE.BOLT.STRIKE,DIVINE.SURGE.STRIKE,DIVINE.BOLT.RUSH,DIVINE.SURGE.BIND,DIVINE.SPARK.SHIELD,DIVINE.ARC.BOOST,DIVINE.ARC.DRAIN,[LAMBDA] CSI=20,,NyxGen,elec
EPS-000183,EPSILON,184,BreezeMechanical EPSX,Mechanical,Wind,SYNTHETIC NETWORK,2302,200,31,46,238,DIVINE.ZEPHYR.RUSH,DIVINE.DRAFT.CHARGE,DIVINE.BREEZE.SHIELD,DIVINE.DRAFT.SHIELD,DIVINE.SQUALL.SHIELD,DIVINE.SQUALL.CATALYST,DIVINE.ZEPHYR.CHARGE,DIVINE.DRAFT.BOOST,DIVINE.GALE.CHARGE,[EPSILON] CSI=62,,NyxGen,wind
DEL-000184,DELTA,185,HaloMechanical DELX,Mechanical,Holy,SYNTHETIC NETWORK,3584,340,45,57,256,DIVINE.SANCT.BIND,DIVINE.RADIANCE.DRAIN,DIVINE.HALO.SHIELD,DIVINE.SERA.WARD,DIVINE.LUMEN.CHARGE,DIVINE.RADIANCE.CHARGE,DIVINE.LUMEN.CATALYST,DIVINE.SANCT.SHIELD,DIVINE.RADIANCE.DRAIN,[DELTA] CSI=67,,NyxGen,holy
EPS-000185,EPSILON,186,SparkMechanical EPSX,Mechanical,Elec,PROTOCOL DIVISION,2041,184,45,48,174,DIVINE.SPARK.WARD,DIVINE.SURGE.DRAIN,DIVINE.BOLT.CATALYST,DIVINE.SPARK.BOOST,DIVINE.SPARK.BIND,DIVINE.SPARK.BOOST,DIVINE.ARC.STRIKE,DIVINE.SPARK.BOOST,DIVINE.SURGE.BOOST,[EPSILON] CSI=54,,NyxGen,elec
ZET-000186,ZETA,187,SanctMechanical ZETX,Demonic,Holy,IRON CORTEX,1650,148,27,40,153,DIVINE.RADIANCE.WARD,DIVINE.LUMEN.STRIKE,DIVINE.SERA.STRIKE,DIVINE.LUMEN.CHARGE,DIVINE.HALO.BOOST,DIVINE.SANCT.RUSH,DIVINE.SANCT.BOOST,DIVINE.LUMEN.SHIELD,DIVINE.HALO.DRAIN,[ZETA] CSI=50,,NyxGen,holy
ETA-000187,ETA,188,RiftMechanical ETAX,Viral,Void,PROTOCOL DIVISION,1274,95,19,28,128,DIVINE.UMBRAL.WARD,DIVINE.UMBRAL.WARD,DIVINE.ECLIPSE.SHIELD,DIVINE.NULL.CHARGE,DIVINE.ECLIPSE.RUSH,DIVINE.RIFT.CHARGE,DIVINE.ECLIPSE.RUSH,DIVINE.RIFT.BIND,DIVINE.NULL.CHARGE,[ETA] CSI=43,,NyxGen,void
THE-000188,THETA,189,PyreMechanical THEX,Demonic,Fire,ROT CLUSTER,1114,63,21,24,89,DIVINE.PYRE.CHARGE,DIVINE.PYRE.CATALYST,DIVINE.FLARE.STRIKE,DIVINE.FLARE.RUSH,DIVINE.PYRE.CATALYST,DIVINE.EMBER.SHIELD,DIVINE.BLAZE.WARD,DIVINE.FLARE.CHARGE,DIVINE.FLARE.STRIKE,[THETA] CSI=42,,NyxGen,fire
MU-000189,MU,190,UmbralMechanical MUX,Viral,Void,ROT CLUSTER,281,18,9,8,16,DIVINE.NULL.CHARGE,DIVINE.NULL.RUSH,DIVINE.ABYSS.BIND,DIVINE.RIFT.WARD,DIVINE.ECLIPSE.RUSH,DIVINE.ABYSS.CHARGE,DIVINE.RIFT.STRIKE,DIVINE.NULL.CATALYST,DIVINE.RIFT.BIND,[MU] CSI=11,,NyxGen,void
OME-000190,OMEGA,191,EclipseMechanical OMEX,Mechanical,Void,IRON CORTEX,10629,842,97,129,644,DIVINE.RIFT.CHARGE,DIVINE.UMBRAL.CHARGE,DIVINE.ECLIPSE.SHIELD,DIVINE.NULL.STRIKE,DIVINE.UMBRAL.STRIKE,DIVINE.UMBRAL.RUSH,DIVINE.ECLIPSE.STRIKE,DIVINE.NULL.BOOST,DIVINE.ECLIPSE.WARD,[OMEGA] CSI=89,,NyxGen,void
OMI-000191,OMICRON,192,SurgeMechanical OMIX,Demonic,Elec,ASTRUM DIVISION,106,9,4,3,3,DIVINE.BOLT.BIND,DIVINE.SPARK.WARD,DIVINE.SURGE.BOOST,DIVINE.BOLT.BOOST,DIVINE.VOLT.RUSH,DIVINE.BOLT.CATALYST,DIVINE.SURGE.BIND,DIVINE.ARC.WARD,DIVINE.SPARK.CATALYST,[OMICRON] CSI=3,,NyxGen,elec
DEL-000192,DELTA,193,HaloMechanical DELX,Angelic,Holy,LUMINA SECT,2802,228,54,47,300,DIVINE.SANCT.CATALYST,DIVINE.RADIANCE.BIND,DIVINE.RADIANCE.STRIKE,DIVINE.LUMEN.WARD,DIVINE.HALO.STRIKE,DIVINE.SANCT.WARD,DIVINE.HALO.CATALYST,DIVINE.SANCT.SHIELD,DIVINE.LUMEN.RUSH,[DELTA] CSI=59,,NyxGen,holy
LAM-000193,LAMBDA,194,VoltMechanical LAMX,Angelic,Elec,PROTOCOL DIVISION,365,40,11,12,40,DIVINE.VOLT.STRIKE,DIVINE.SPARK.DRAIN,DIVINE.ARC.CHARGE,DIVINE.SPARK.RUSH,DIVINE.BOLT.SHIELD,DIVINE.ARC.SHIELD,DIVINE.BOLT.CHARGE,DIVINE.SPARK.SHIELD,DIVINE.BOLT.STRIKE,[LAMBDA] CSI=23,,NyxGen,elec
OME-000194,OMEGA,195,BoltMechanical OMEX,Viral,Elec,HALO CORE,10695,957,94,126,860,DIVINE.VOLT.WARD,DIVINE.SURGE.SHIELD,DIVINE.SURGE.BOOST,DIVINE.SURGE.DRAIN,DIVINE.SPARK.DRAIN,DIVINE.VOLT.STRIKE,DIVINE.SPARK.CHARGE,DIVINE.BOLT.BOOST,DIVINE.VOLT.DRAIN,[OMEGA] CSI=98,,NyxGen,elec
ETA-000195,ETA,196,SurgeMechanical ETAX,Viral,Aqua,SYNTHETIC NETWORK,1438,110,26,32,127,DIVINE.SURGE.CHARGE,DIVINE.TIDE.SHIELD,DIVINE.TIDE.CHARGE,DIVINE.TIDE.WARD,DIVINE.TORRENT.BIND,DIVINE.TORRENT.CATALYST,DIVINE.RIPPLE.DRAIN,DIVINE.MIST.DRAIN,DIVINE.MIST.CATALYST,[ETA] CSI=47,,NyxGen,aqua
KAP-000196,KAPPA,197,GaleMechanical KAPX,Angelic,Wind,CORRUPTED SECTOR,540,54,13,10,53,DIVINE.GALE.CHARGE,DIVINE.ZEPHYR.STRIKE,DIVINE.GALE.WARD,DIVINE.ZEPHYR.STRIKE,DIVINE.GALE.SHIELD,DIVINE.BREEZE.STRIKE,DIVINE.GALE.CATALYST,DIVINE.ZEPHYR.CHARGE,DIVINE.BREEZE.SHIELD,[KAPPA] CSI=25,,NyxGen,wind
OMI-000197,OMICRON,198,CinderMechanical OMIX,Angelic,Fire,GEAR SECT,104,7,5,5,4,DIVINE.FLARE.BOOST,DIVINE.FLARE.WARD,DIVINE.BLAZE.SHIELD,DIVINE.CINDER.BIND,DIVINE.CINDER.DRAIN,DIVINE.PYRE.STRIKE,DIVINE.EMBER.CHARGE,DIVINE.PYRE.BIND,DIVINE.BLAZE.BIND,[OMICRON] CSI=2,,NyxGen,fire
LAM-000198,LAMBDA,199,EmberMechanical LAMX,Viral,Fire,ABYSSAL CABAL,270,33,10,13,24,DIVINE.EMBER.BOOST,DIVINE.EMBER.CHARGE,DIVINE.EMBER.SHIELD,DIVINE.CINDER.WARD,DIVINE.BLAZE.WARD,DIVINE.CINDER.CHARGE,DIVINE.BLAZE.SHIELD,DIVINE.CINDER.BIND,DIVINE.PYRE.DRAIN,[LAMBDA] CSI=21,,NyxGen,fire
IOT-000199,IOTA,200,ZephyrMechanical IOTX,Mechanical,Wind,LUMINA SECT,813,63,10,19,69,DIVINE.BREEZE.SHIELD,DIVINE.DRAFT.CATALYST,DIVINE.GALE.CATALYST,DIVINE.SQUALL.RUSH,DIVINE.ZEPHYR.CHARGE,DIVINE.BREEZE.BIND,DIVINE.GALE.CATALYST,DIVINE.SQUALL.WARD,DIVINE.GALE.STRIKE,[IOTA] CSI=26,,NyxGen,wind
KAP-000200,KAPPA,201,SanctMechanical KAPX,Mechanical,Holy,ASTRUM DIVISION,448,45,12,11,33,DIVINE.SANCT.RUSH,DIVINE.HALO.RUSH,DIVINE.SANCT.CATALYST,DIVINE.HALO.RUSH,DIVINE.LUMEN.RUSH,DIVINE.SERA.RUSH,DIVINE.LUMEN.BIND,DIVINE.RADIANCE.SHIELD,DIVINE.RADIANCE.SHIELD,[KAPPA] CSI=26,,NyxGen,holy
IOT-000201,IOTA,202,SquallMechanical IOTX,Mechanical,Wind,CORRUPTED SECTOR,675,45,18,13,52,DIVINE.DRAFT.RUSH,DIVINE.GALE.CHARGE,DIVINE.DRAFT.STRIKE,DIVINE.SQUALL.DRAIN,DIVINE.BREEZE.BOOST,DIVINE.DRAFT.STRIKE,DIVINE.DRAFT.BIND,DIVINE.BREEZE.CATALYST,DIVINE.GALE.DRAIN,[IOTA] CSI=26,,NyxGen,wind
EPS-000202,EPSILON,203,RiftMechanical EPSX,Demonic,Void,VOID CULT,2857,184,33,37,215,DIVINE.UMBRAL.RUSH,DIVINE.ECLIPSE.WARD,DIVINE.ECLIPSE.CHARGE,DIVINE.NULL.SHIELD,DIVINE.NULL.RUSH,DIVINE.RIFT.DRAIN,DIVINE.NULL.DRAIN,DIVINE.NULL.BIND,DIVINE.ABYSS.RUSH,[EPSILON] CSI=58,,NyxGen,void
NU-000203,NU,204,SurgeMechanical NUX,Angelic,Elec,CORRUPTED SECTOR,180,18,7,6,18,DIVINE.SPARK.CHARGE,DIVINE.SURGE.DRAIN,DIVINE.ARC.WARD,DIVINE.SPARK.RUSH,DIVINE.BOLT.CHARGE,DIVINE.SURGE.SHIELD,DIVINE.SPARK.WARD,DIVINE.SPARK.WARD,DIVINE.ARC.BIND,[NU] CSI=6,,NyxGen,elec
ETA-000204,ETA,205,MistMechanical ETAX,Viral,Aqua,ROT CLUSTER,1360,142,24,27,102,DIVINE.TIDE.BIND,DIVINE.MIST.BIND,DIVINE.TORRENT.CHARGE,DIVINE.RIPPLE.BOOST,DIVINE.SURGE.CHARGE,DIVINE.TORRENT.RUSH,DIVINE.TORRENT.WARD,DIVINE.TORRENT.DRAIN,DIVINE.TORRENT.STRIKE,[ETA] CSI=40,,NyxGen,aqua
NU-000205,NU,206,RootMechanical NUX,Mechanical,Wood,PHAGE CELL,201,19,6,7,21,DIVINE.VINE.RUSH,DIVINE.VINE.RUSH,DIVINE.BLOOM.RUSH,DIVINE.VINE.WARD,DIVINE.ROOT.WARD,DIVINE.BLOOM.CHARGE,DIVINE.THORN.DRAIN,DIVINE.BLOOM.DRAIN,DIVINE.VINE.CATALYST,[NU] CSI=13,,NyxGen,wood
OME-000206,OMEGA,207,TorrentMechanical OMEX,Angelic,Aqua,LUMINA SECT,10969,1081,110,114,868,DIVINE.MIST.DRAIN,DIVINE.RIPPLE.CHARGE,DIVINE.TORRENT.WARD,DIVINE.SURGE.WARD,DIVINE.TORRENT.RUSH,DIVINE.TIDE.RUSH,DIVINE.MIST.WARD,DIVINE.RIPPLE.BOOST,DIVINE.TIDE.DRAIN,[OMEGA] CSI=90,,NyxGen,aqua
ETA-000207,ETA,208,NullMechanical ETAX,Viral,Void,CORRUPTED SECTOR,1364,114,17,29,69,DIVINE.ECLIPSE.STRIKE,DIVINE.UMBRAL.BOOST,DIVINE.RIFT.BOOST,DIVINE.NULL.STRIKE,DIVINE.ECLIPSE.DRAIN,DIVINE.ABYSS.SHIELD,DIVINE.ABYSS.STRIKE,DIVINE.ABYSS.WARD,DIVINE.ABYSS.STRIKE,[ETA] CSI=44,,NyxGen,void
OMI-000208,OMICRON,209,CinderMechanical OMIX,Viral,Fire,IRON CORTEX,63,10,2,4,8,DIVINE.BLAZE.STRIKE,DIVINE.EMBER.CHARGE,DIVINE.BLAZE.CHARGE,DIVINE.PYRE.BIND,DIVINE.CINDER.BIND,DIVINE.FLARE.SHIELD,DIVINE.BLAZE.SHIELD,DIVINE.FLARE.RUSH,DIVINE.CINDER.BIND,[OMICRON] CSI=7,,NyxGen,fire
BET-000209,BETA,210,DraftMechanical BETX,Demonic,Wind,PHAGE CELL,6289,449,61,87,439,DIVINE.DRAFT.BIND,DIVINE.DRAFT.BOOST,DIVINE.ZEPHYR.DRAIN,DIVINE.SQUALL.DRAIN,DIVINE.BREEZE.BOOST,DIVINE.GALE.STRIKE,DIVINE.ZEPHYR.WARD,DIVINE.ZEPHYR.CHARGE,DIVINE.SQUALL.DRAIN,[BETA] CSI=83,,NyxGen,wind
ALP-000210,ALPHA,211,BloomMechanical ALPX,Demonic,Wood,GEAR SECT,8045,686,100,78,712,DIVINE.BLOOM.SHIELD,DIVINE.BLOOM.WARD,DIVINE.BLOOM.STRIKE,DIVINE.THORN.DRAIN,DIVINE.BLOOM.BIND,DIVINE.BLOOM.BOOST,DIVINE.BLOOM.DRAIN,DIVINE.THORN.DRAIN,DIVINE.BLOOM.BIND,[ALPHA] CSI=93,,NyxGen,wood
ALP-000211,ALPHA,212,ArcMechanical ALPX,Demonic,Elec,GEAR SECT,7673,572,77,103,734,DIVINE.ARC.SHIELD,DIVINE.VOLT.RUSH,DIVINE.ARC.BOOST,DIVINE.BOLT.RUSH,DIVINE.ARC.DRAIN,DIVINE.SPARK.BOOST,DIVINE.SPARK.STRIKE,DIVINE.SURGE.RUSH,DIVINE.BOLT.STRIKE,[ALPHA] CSI=84,,NyxGen,elec
MU-000212,MU,213,SanctMechanical MUX,Mechanical,Holy,PROTOCOL DIVISION,323,20,6,9,26,DIVINE.HALO.STRIKE,DIVINE.SANCT.SHIELD,DIVINE.SANCT.CATALYST,DIVINE.LUMEN.STRIKE,DIVINE.HALO.CATALYST,DIVINE.LUMEN.STRIKE,DIVINE.SANCT.BOOST,DIVINE.HALO.BOOST,DIVINE.RADIANCE.BIND,[MU] CSI=20,,NyxGen,holy
XI-000213,XI,214,DraftMechanical XIX,Angelic,Wind,INFECTION VECTOR,170,12,6,5,9,DIVINE.BREEZE.DRAIN,DIVINE.ZEPHYR.BIND,DIVINE.ZEPHYR.CATALYST,DIVINE.GALE.RUSH,DIVINE.BREEZE.CATALYST,DIVINE.GALE.BIND,DIVINE.BREEZE.STRIKE,DIVINE.BREEZE.SHIELD,DIVINE.ZEPHYR.BIND,[XI] CSI=7,,NyxGen,wind
THE-000214,THETA,215,BloomMechanical THEX,Mechanical,Wood,VOID CULT,975,59,13,16,65,DIVINE.ROOT.CATALYST,DIVINE.ROOT.WARD,DIVINE.ROOT.BIND,DIVINE.VINE.BIND,DIVINE.THORN.RUSH,DIVINE.BARK.WARD,DIVINE.THORN.BOOST,DIVINE.ROOT.SHIELD,DIVINE.BLOOM.BIND,[THETA] CSI=33,,NyxGen,wood
DEL-000215,DELTA,216,LumenMechanical DELX,Angelic,Holy,PROTOCOL DIVISION,3749,342,36,60,336,DIVINE.RADIANCE.DRAIN,DIVINE.SANCT.RUSH,DIVINE.RADIANCE.SHIELD,DIVINE.SANCT.RUSH,DIVINE.LUMEN.RUSH,DIVINE.RADIANCE.DRAIN,DIVINE.SERA.STRIKE,DIVINE.HALO.BIND,DIVINE.HALO.CHARGE,[DELTA] CSI=64,,NyxGen,holy
NU-000216,NU,217,SurgeMechanical NUX,Demonic,Elec,HALO CORE,147,16,6,8,17,DIVINE.SURGE.STRIKE,DIVINE.VOLT.DRAIN,DIVINE.BOLT.CHARGE,DIVINE.SURGE.BIND,DIVINE.BOLT.STRIKE,DIVINE.ARC.BIND,DIVINE.SURGE.BOOST,DIVINE.SURGE.BIND,DIVINE.BOLT.CATALYST,[NU] CSI=18,,NyxGen,elec
GAM-000217,GAMMA,218,AbyssMechanical GAMX,Angelic,Void,PHAGE CELL,4165,496,63,52,425,DIVINE.UMBRAL.SHIELD,DIVINE.ABYSS.BIND,DIVINE.RIFT.CHARGE,DIVINE.UMBRAL.DRAIN,DIVINE.ECLIPSE.WARD,DIVINE.ABYSS.DRAIN,DIVINE.ECLIPSE.CATALYST,DIVINE.RIFT.RUSH,DIVINE.RIFT.BOOST,[GAMMA] CSI=76,,NyxGen,void
KAP-000218,KAPPA,219,DraftMechanical KAPX,Angelic,Wind,INFECTION VECTOR,542,44,13,12,33,DIVINE.GALE.DRAIN,DIVINE.GALE.STRIKE,DIVINE.GALE.BOOST,DIVINE.GALE.SHIELD,DIVINE.DRAFT.WARD,DIVINE.DRAFT.BOOST,DIVINE.BREEZE.STRIKE,DIVINE.SQUALL.CATALYST,DIVINE.ZEPHYR.BIND,[KAPPA] CSI=24,,NyxGen,wind
BET-000219,BETA,220,BoltMechanical BETX,Demonic,Elec,ABYSSAL CABAL,7343,520,60,69,529,DIVINE.VOLT.BIND,DIVINE.SPARK.WARD,DIVINE.SPARK.STRIKE,DIVINE.SURGE.DRAIN,DIVINE.SURGE.BIND,DIVINE.SPARK.CHARGE,DIVINE.BOLT.DRAIN,DIVINE.VOLT.DRAIN,DIVINE.ARC.WARD,[BETA] CSI=81,,NyxGen,elec
GAM-000220,GAMMA,221,SanctMechanical GAMX,Mechanical,Holy,VOID CULT,5350,499,47,57,448,DIVINE.SERA.BOOST,DIVINE.RADIANCE.BOOST,DIVINE.RADIANCE.BOOST,DIVINE.LUMEN.DRAIN,DIVINE.RADIANCE.WARD,DIVINE.LUMEN.DRAIN,DIVINE.SERA.BIND,DIVINE.LUMEN.DRAIN,DIVINE.HALO.SHIELD,[GAMMA] CSI=73,,NyxGen,holy
NU-000221,NU,222,HaloMechanical NUX,Angelic,Holy,ROT CLUSTER,126,17,6,6,19,DIVINE.SANCT.WARD,DIVINE.RADIANCE.SHIELD,DIVINE.HALO.CATALYST,DIVINE.RADIANCE.WARD,DIVINE.LUMEN.WARD,DIVINE.RADIANCE.CHARGE,DIVINE.HALO.STRIKE,DIVINE.RADIANCE.CHARGE,DIVINE.SANCT.SHIELD,[NU] CSI=18,,NyxGen,holy
ALP-000222,ALPHA,223,SurgeMechanical ALPX,Viral,Elec,GEAR SECT,8687,565,71,91,481,DIVINE.SURGE.STRIKE,DIVINE.SURGE.STRIKE,DIVINE.SURGE.RUSH,DIVINE.ARC.BIND,DIVINE.SURGE.CATALYST,DIVINE.BOLT.BIND,DIVINE.ARC.WARD,DIVINE.ARC.DRAIN,DIVINE.SURGE.BIND,[ALPHA] CSI=83,,NyxGen,elec
LAM-000223,LAMBDA,224,UmbralMechanical LAMX,Angelic,Void,CORRUPTED SECTOR,451,35,11,9,16,DIVINE.RIFT.DRAIN,DIVINE.NULL.SHIELD,DIVINE.UMBRAL.RUSH,DIVINE.UMBRAL.DRAIN,DIVINE.RIFT.RUSH,DIVINE.NULL.BOOST,DIVINE.NULL.BIND,DIVINE.NULL.BIND,DIVINE.UMBRAL.BOOST,[LAMBDA] CSI=23,,NyxGen,void
THE-000224,THETA,225,BreezeMechanical THEX,Mechanical,Wind,LUMINA SECT,741,85,18,21,80,DIVINE.ZEPHYR.BOOST,DIVINE.DRAFT.CATALYST,DIVINE.BREEZE.CATALYST,DIVINE.SQUALL.BOOST,DIVINE.DRAFT.STRIKE,DIVINE.BREEZE.RUSH,DIVINE.DRAFT.SHIELD,DIVINE.DRAFT.CHARGE,DIVINE.BREEZE.DRAIN,[THETA] CSI=36,,NyxGen,wind
OME-000225,OMEGA,226,SanctMechanical OMEX,Viral,Holy,PROTOCOL DIVISION,9705,795,93,118,882,DIVINE.RADIANCE.RUSH,DIVINE.RADIANCE.DRAIN,DIVINE.HALO.DRAIN,DIVINE.LUMEN.WARD,DIVINE.LUMEN.STRIKE,DIVINE.LUMEN.BOOST,DIVINE.SERA.BOOST,DIVINE.RADIANCE.RUSH,DIVINE.SANCT.RUSH,[OMEGA] CSI=93,,NyxGen,holy
OMI-000226,OMICRON,227,TideMechanical OMIX,Mechanical,Aqua,GEAR SECT,64,10,5,4,9,DIVINE.TIDE.STRIKE,DIVINE.SURGE.CATALYST,DIVINE.RIPPLE.BOOST,DIVINE.TORRENT.WARD,DIVINE.MIST.BIND,DIVINE.MIST.STRIKE,DIVINE.SURGE.STRIKE,DIVINE.TORRENT.RUSH,DIVINE.TORRENT.BIND,[OMICRON] CSI=5,,NyxGen,aqua
THE-000227,THETA,228,SeraMechanical THEX,Angelic,Holy,GEAR SECT,1186,88,15,16,64,DIVINE.HALO.CHARGE,DIVINE.RADIANCE.DRAIN,DIVINE.SERA.STRIKE,DIVINE.LUMEN.SHIELD,DIVINE.HALO.CATALYST,DIVINE.LUMEN.CATALYST,DIVINE.SERA.WARD,DIVINE.SERA.RUSH,DIVINE.LUMEN.DRAIN,[THETA] CSI=30,,NyxGen,holy
OME-000228,OMEGA,229,BarkMechanical OMEX,Angelic,Wood,INFECTION VECTOR,11269,1015,89,116,683,DIVINE.ROOT.SHIELD,DIVINE.VINE.BOOST,DIVINE.BARK.BIND,DIVINE.BLOOM.SHIELD,DIVINE.BLOOM.CATALYST,DIVINE.BLOOM.CHARGE,DIVINE.THORN.BIND,DIVINE.THORN.DRAIN,DIVINE.ROOT.CHARGE,[OMEGA] CSI=95,,NyxGen,wood
NU-000229,NU,230,SquallMechanical NUX,Angelic,Wind,ABYSSAL CABAL,137,17,7,8,8,DIVINE.DRAFT.STRIKE,DIVINE.SQUALL.CHARGE,DIVINE.BREEZE.WARD,DIVINE.BREEZE.SHIELD,DIVINE.DRAFT.WARD,DIVINE.GALE.BOOST,DIVINE.GALE.SHIELD,DIVINE.ZEPHYR.STRIKE,DIVINE.DRAFT.SHIELD,[NU] CSI=15,,NyxGen,wind
ZET-000230,ZETA,231,BlazeMechanical ZETX,Mechanical,Fire,ABYSSAL CABAL,1781,165,30,39,126,DIVINE.FLARE.BIND,DIVINE.FLARE.STRIKE,DIVINE.CINDER.SHIELD,DIVINE.EMBER.WARD,DIVINE.BLAZE.CHARGE,DIVINE.FLARE.DRAIN,DIVINE.CINDER.BOOST,DIVINE.FLARE.WARD,DIVINE.BLAZE.CATALYST,[ZETA] CSI=54,,NyxGen,fire
OME-000231,OMEGA,232,GaleMechanical OMEX,Demonic,Wind,SYNTHETIC NETWORK,9496,1019,104,127,946,DIVINE.DRAFT.SHIELD,DIVINE.ZEPHYR.CATALYST,DIVINE.BREEZE.WARD,DIVINE.DRAFT.RUSH,DIVINE.ZEPHYR.BIND,DIVINE.BREEZE.BOOST,DIVINE.ZEPHYR.CATALYST,DIVINE.BREEZE.WARD,DIVINE.SQUALL.BOOST,[OMEGA] CSI=98,,NyxGen,wind
OMI-000232,OMICRON,233,SurgeMechanical OMIX,Mechanical,Aqua,HALO CORE,68,5,5,4,3,DIVINE.MIST.DRAIN,DIVINE.SURGE.STRIKE,DIVINE.MIST.BOOST,DIVINE.MIST.BIND,DIVINE.TIDE.DRAIN,DIVINE.SURGE.RUSH,DIVINE.MIST.BOOST,DIVINE.TORRENT.SHIELD,DIVINE.TORRENT.WARD,[OMICRON] CSI=3,,NyxGen,aqua
OMI-000233,OMICRON,234,BreezeMechanical OMIX,Angelic,Wind,SYNTHETIC NETWORK,59,10,2,5,11,DIVINE.SQUALL.STRIKE,DIVINE.SQUALL.CHARGE,DIVINE.DRAFT.BIND,DIVINE.BREEZE.CATALYST,DIVINE.GALE.BIND,DIVINE.DRAFT.BOOST,DIVINE.GALE.STRIKE,DIVINE.BREEZE.RUSH,DIVINE.DRAFT.STRIKE,[OMICRON] CSI=0,,NyxGen,wind
IOT-000234,IOTA,235,TorrentMechanical IOTX,Demonic,Aqua,SYNTHETIC NETWORK,874,68,11,20,74,DIVINE.MIST.SHIELD,DIVINE.RIPPLE.BIND,DIVINE.SURGE.SHIELD,DIVINE.TORRENT.RUSH,DIVINE.MIST.STRIKE,DIVINE.RIPPLE.STRIKE,DIVINE.RIPPLE.CHARGE,DIVINE.TORRENT.CHARGE,DIVINE.SURGE.CHARGE,[IOTA] CSI=27,,NyxGen,aqua
NU-000235,NU,236,VoltMechanical NUX,Angelic,Elec,HALO CORE,141,16,4,7,12,DIVINE.ARC.RUSH,DIVINE.SPARK.WARD,DIVINE.SURGE.CHARGE,DIVINE.SURGE.BOOST,DIVINE.SURGE.CHARGE,DIVINE.SURGE.DRAIN,DIVINE.SURGE.WARD,DIVINE.SURGE.CHARGE,DIVINE.SURGE.STRIKE,[NU] CSI=10,,NyxGen,elec
NU-000236,NU,237,EclipseMechanical NUX,Angelic,Void,SYNTHETIC NETWORK,201,22,7,5,15,DIVINE.ABYSS.BIND,DIVINE.ABYSS.RUSH,DIVINE.ABYSS.CATALYST,DIVINE.ECLIPSE.SHIELD,DIVINE.ABYSS.WARD,DIVINE.NULL.STRIKE,DIVINE.NULL.CHARGE,DIVINE.NULL.BIND,DIVINE.NULL.WARD,[NU] CSI=15,,NyxGen,void
XI-000237,XI,238,TideMechanical XIX,Viral,Aqua,CORRUPTED SECTOR,167,9,3,5,11,DIVINE.RIPPLE.WARD,DIVINE.RIPPLE.RUSH,DIVINE.MIST.CATALYST,DIVINE.RIPPLE.BIND,DIVINE.TORRENT.SHIELD,DIVINE.SURGE.STRIKE,DIVINE.TIDE.BIND,DIVINE.MIST.STRIKE,DIVINE.TIDE.SHIELD,[XI] CSI=3,,NyxGen,aqua
ETA-000238,ETA,239,SanctMechanical ETAX,Viral,Holy,ASTRUM DIVISION,1113,82,20,24,130,DIVINE.HALO.CHARGE,DIVINE.SERA.CATALYST,DIVINE.SANCT.STRIKE,DIVINE.LUMEN.BIND,DIVINE.SANCT.CATALYST,DIVINE.HALO.CHARGE,DIVINE.RADIANCE.CATALYST,DIVINE.SANCT.SHIELD,DIVINE.SANCT.RUSH,[ETA] CSI=45,,NyxGen,holy
ALP-000239,ALPHA,240,SeraMechanical ALPX,Demonic,Holy,CORRUPTED SECTOR,9067,802,90,91,589,DIVINE.HALO.CHARGE,DIVINE.SERA.RUSH,DIVINE.RADIANCE.RUSH,DIVINE.SANCT.SHIELD,DIVINE.SANCT.WARD,DIVINE.LUMEN.RUSH,DIVINE.RADIANCE.CHARGE,DIVINE.RADIANCE.CATALYST,DIVINE.RADIANCE.SHIELD,[ALPHA] CSI=90,,NyxGen,holy
XI-000240,XI,241,VineMechanical XIX,Viral,Wood,INFECTION VECTOR,137,10,4,6,12,DIVINE.THORN.CHARGE,DIVINE.BARK.RUSH,DIVINE.THORN.WARD,DIVINE.BLOOM.WARD,DIVINE.THORN.STRIKE,DIVINE.THORN.SHIELD,DIVINE.THORN.CHARGE,DIVINE.BARK.WARD,DIVINE.VINE.DRAIN,[XI] CSI=10,,NyxGen,wood
EPS-000241,EPSILON,242,VoltMechanical EPSX,Demonic,Elec,LUMINA SECT,2265,197,44,47,223,DIVINE.SPARK.BIND,DIVINE.SURGE.CHARGE,DIVINE.ARC.BOOST,DIVINE.SPARK.STRIKE,DIVINE.SPARK.BOOST,DIVINE.VOLT.STRIKE,DIVINE.SPARK.STRIKE,DIVINE.SPARK.BOOST,DIVINE.BOLT.CHARGE,[EPSILON] CSI=59,,NyxGen,elec
XI-000242,XI,243,LumenMechanical XIX,Viral,Holy,IRON CORTEX,144,13,6,6,14,DIVINE.SANCT.BIND,DIVINE.HALO.SHIELD,DIVINE.HALO.BOOST,DIVINE.LUMEN.STRIKE,DIVINE.LUMEN.CHARGE,DIVINE.SANCT.CATALYST,DIVINE.SERA.BOOST,DIVINE.SERA.CATALYST,DIVINE.LUMEN.CATALYST,[XI] CSI=3,,NyxGen,holy
